,article_link,title,subhead,status,byline,article_type,image_url
0,https://www.lemonde.fr/en/international/article/2025/06/18/behind-trump-and-macron-s-war-of-words-g7-reveals-deep-western-divisions_6742454_4.html,"Behind Trump and Macron's war of words, G7 reveals deep Western divisions","From Iran to Ukraine to trade disputes, tensions have escalated between the American president and his fellow G7 leaders. Donald Trump said on Tuesday that Emmanuel Macron 'always gets it wrong' and is 'publicity seeking.'",Subscribers only,By Philippe Ricard,World      Diplomacy,https://img.lemde.fr/2025/06/18/0/0/5900/3933/664/0/75/0/5ec6b8e_upload-1-yr5hstvhnqbd-jmug250617055.jpg
1,https://www.lemonde.fr/en/international/article/2025/06/18/iran-says-it-fired-hypersonic-missiles-at-israel-after-israel-strikes-tehran_6742452_4.html,"Iran says it fired hypersonic missiles at Israel, after Israel strikes Tehran","As the conflict between Iran and Israel enters its sixth day, world leaders urged for a diplomatic solution, while US President Donald Trump demanded Iran's 'unconditional surrender.'",not premium,Le Monde with AFP,World      Middle East wars,https://img.lemde.fr/2025/06/17/0/0/6500/4333/664/0/75/0/60f8ed5_ftp-import-images-1-ulehontt3dq1-2025-06-17t225339z-525267110-rc2m4falws1f-rtrmadp-3-iran-nuclear-israel.JPG
2,https://www.lemonde.fr/en/international/article/2025/06/17/china-iran-s-main-economic-backer-remains-a-bystander-to-the-middle-east-conflict_6742440_4.html,"China, Iran's main economic backer, remains a bystander to the Middle East conflict","As Chinese diplomacy becomes increasingly active in the Middle East, Beijing, which buys 90% of Iran's exported oil, has continued to leave the role of regional policing to the US.",Subscribers only,By Harold Thibault (Beijing (China) correspondent),World      China,https://img.lemde.fr/2025/06/17/0/0/3997/2665/664/0/75/0/a5558f1_upload-1-o9h4sakyjwxf-429587.jpg
3,https://www.lemonde.fr/en/politics/article/2025/06/18/six-months-later-bayrou-is-still-france-s-pm-and-not-finished_6742448_5.html,"Six months later, Bayrou is still France's PM – and not finished","With no majority to back him in the Assemblée Nationale, Prime Minister François Bayrou has governed from a precarious position. He has held on, so far, thanks to a fragile agreement with the Socialists to re-examine the unpopular 2023 reform of the pensions system.",Subscribers only,By Nathalie Segaunes,French Politics      François Bayrou government,https://img.lemde.fr/2025/06/16/0/0/4674/7011/664/0/75/0/5539503_upload-1-71ak9edj1w9i-abacanewsroy-944658-051.jpg
4,https://www.lemonde.fr/en/pixels/article/2025/06/18/on-x-ads-are-based-on-political-criteria-a-prohibited-practice_6742451_13.html,"X allowed ads to be targeted according to political criteria, a prohibited practice","The targeting method, which is banned in Europe, with rare exceptions, by the General Data Protection Regulation (GDPR), continues to be used on Elon Musk's social network, according to a study by the NGO AI Forensics.",Subscribers only,By Damien Leloup,Pixels      X / Twitter,no image
5,https://www.lemonde.fr/en/lifestyle/article/2025/06/18/is-it-ever-a-good-idea-to-wear-your-clothes-backwards_6742443_37.html,Is it ever a good idea to… wear your clothes backwards?,"In fashion, as in life, it is important to know the lines you should not cross − or else, to do so deliberately.",not premium,no author name,Lifestyle      Is it ever a good idea to...,https://img.lemde.fr/2025/05/16/0/0/3543/4488/664/0/75/0/021ee87_sirius-fs-upload-1-ahko86uvduqh-1747390089298-a-l-envers.jpeg
6,https://www.lemonde.fr/en/opinion/article/2025/06/18/iran-israel-preventive-war-and-regime-change-are-rarely-met-with-success_6742460_23.html,Iran-Israel: 'Preventive war and regime change are rarely met with success',"Fundamentally committed to international law, Europe is struggling to deal with the contradictions the US imposes on it, in a world where force increasingly prevails, writes Le Monde columnist Sylvie Kauffmann.",Subscribers only,no author name,Opinion      Israel-Iran conflict,no image
7,https://www.lemonde.fr/en/culture/article/2025/06/18/netflix-and-french-television-group-tf1-strike-world-first-streaming-deal_6742453_30.html,Netflix and French television group TF1 strike world-first streaming deal,"Starting summer 2026, French users will access TF1's content directly through Netflix, marking the platform's first global partnership with a traditional broadcaster.",not premium,Le Monde with AFP,Culture      French Economy,no image
8,https://www.lemonde.fr/en/economy/article/2025/06/18/in-saint-petersburg-putin-s-davos-gathers-the-kremlin-elite-and-its-allies_6742442_19.html,"In Saint Petersburg, 'Putin's Davos' features the Kremlin elite and their allies","For three days from June 18, the Saint Petersburg International Economic Forum will be abuzz with panels and discussions of all kinds. Amid Russian officials and business leaders, a handful of Westerners are set to attend.",Subscribers only,"By Benjamin Quénelle (Moscow (Russia), special correspondent)",Economy      Russia,https://img.lemde.fr/2025/06/17/0/0/3500/2326/664/0/75/0/f5dc631_ftp-import-images-1-b7jyhvcgxgsl-2025-06-17t114636z-1915182909-up1el6h0wpnh5-rtrmadp-3-russia-forum.JPG
9,https://www.lemonde.fr/en/economy/article/2025/06/18/takata-airbags-stop-drive-order-issued-for-citroen-c3-and-ds3-cars-produced-up-to-2019_6742459_19.html,Takata airbags: Stop-drive order issued for Citroën C3 and DS3 cars produced up to 2019,"After a Citroën C3 driver died on June 11 when her Takata airbag exploded, questions have arisen over how vehicle recalls are organized in France. Citroën and DS executives have been summoned to the French Transport Ministry.",Subscribers only,By Sophie Fay (with AFP),Economy      Automobile industry,https://img.lemde.fr/2025/06/17/0/0/8256/5504/664/0/75/0/37f3f9d_upload-1-7jmimiaovgd4-000-36y76bl.jpg
